,eurogrid_0250_1,pred
0,1kmN3032E5026_11,0.4785057
1,1kmN3032E5026_12,0.29346198
2,1kmN3032E5026_13,0.30752933
3,1kmN3032E5026_14,0.54720974
4,1kmN3032E5026_21,0.29346198
8,1kmN3032E5026_31,0.29346198
9,1kmN3032E5026_34,0.29346198
13,1kmN3032E5027_13,0.29346198
14,1kmN3032E5027_14,0.29346198
15,1kmN3032E5027_31,0.29346198
16,1kmN3032E5027_33,0.30752933
17,1kmN3032E5027_34,0.30752933
18,1kmN3032E5027_41,0.29346198
19,1kmN3032E5027_42,0.46477702
20,1kmN3032E5027_43,0.47568065
21,1kmN3032E5027_44,0.43870062
23,1kmN3032E5032_11,0.6170048
24,1kmN3032E5032_12,0.29346198
25,1kmN3032E5032_13,0.29346198
26,1kmN3032E5032_14,0.29346198
27,1kmN3032E5032_21,0.29346198
28,1kmN3032E5032_41,0.4785057
29,1kmN3032E5032_44,0.30752933
31,1kmN3032E5033_44,0.6170048
36,1kmN3033E5025_11,0.36216596
37,1kmN3033E5025_12,0.36216596
38,1kmN3033E5025_13,0.29346198
39,1kmN3033E5025_14,0.36216596
44,1kmN3033E5025_41,0.29346198
45,1kmN3033E5025_42,0.29346198
46,1kmN3033E5025_43,0.36216596
47,1kmN3033E5025_44,0.29346198
48,1kmN3033E5026_11,0.29346198
49,1kmN3033E5026_12,0.30752933
50,1kmN3033E5026_13,0.36216596
51,1kmN3033E5026_14,0.29346198
52,1kmN3033E5026_21,0.54720974
53,1kmN3033E5026_22,0.49257305
54,1kmN3033E5026_23,0.29346198
55,1kmN3033E5026_24,0.4785057
56,1kmN3033E5026_31,0.4785057
60,1kmN3033E5026_41,0.29346198
61,1kmN3033E5026_42,0.29346198
62,1kmN3033E5026_43,0.29346198
63,1kmN3033E5026_44,0.38824233
65,1kmN3033E5027_12,0.4785057
68,1kmN3033E5027_21,0.49257305
69,1kmN3033E5027_22,0.4785057
70,1kmN3033E5027_23,0.4785057
71,1kmN3033E5027_24,0.30752933
72,1kmN3033E5027_31,0.6135617
73,1kmN3033E5027_32,0.4785057
74,1kmN3033E5027_33,0.29346198
75,1kmN3033E5027_34,0.36216596
77,1kmN3033E5027_42,0.4785057
78,1kmN3033E5027_43,0.3741055
80,1kmN3033E5028_11,0.4785057
81,1kmN3033E5028_12,0.4785057
82,1kmN3033E5028_13,0.49257305
83,1kmN3033E5028_14,0.29346198
84,1kmN3033E5028_21,0.29346198
85,1kmN3033E5028_24,0.29346198
86,1kmN3033E5028_31,0.30752933
87,1kmN3033E5028_33,0.29346198
88,1kmN3033E5028_34,0.30752933
90,1kmN3033E5028_42,1.0106554
91,1kmN3033E5028_43,0.38824233
93,1kmN3033E5029_11,0.36216596
94,1kmN3033E5029_12,0.9272865
95,1kmN3033E5029_13,0.30752933
96,1kmN3033E5029_14,0.29346198
97,1kmN3033E5029_21,0.9272865
98,1kmN3033E5029_24,0.29346198
99,1kmN3033E5029_34,0.29346198
100,1kmN3033E5029_41,0.36216596
101,1kmN3033E5029_42,0.47568065
102,1kmN3033E5029_43,0.46477702
103,1kmN3033E5029_44,0.3741055
105,1kmN3033E5030_12,0.29346198
108,1kmN3033E5030_21,0.29346198
109,1kmN3033E5030_34,0.36216596
112,1kmN3033E5030_43,0.30752933
113,1kmN3033E5030_44,0.36216596
114,1kmN3033E5031_11,0.6092034
115,1kmN3033E5031_12,0.7549317
116,1kmN3033E5031_13,0.9205973
117,1kmN3033E5031_14,0.47568065
118,1kmN3033E5031_21,0.54720974
119,1kmN3033E5031_22,0.6170048
120,1kmN3033E5031_23,0.29346198
121,1kmN3033E5031_24,0.30752933
122,1kmN3033E5031_31,0.30752933
126,1kmN3033E5031_41,0.47568065
127,1kmN3033E5031_42,0.46715912
128,1kmN3033E5031_43,0.29346198
129,1kmN3033E5031_44,0.30752933
130,1kmN3033E5032_11,0.3741055
131,1kmN3033E5032_12,0.29346198
132,1kmN3033E5032_13,0.30752933
133,1kmN3033E5032_14,0.29346198
134,1kmN3033E5032_21,0.49257305
135,1kmN3033E5032_22,0.4785057
137,1kmN3033E5032_24,0.29346198
138,1kmN3033E5032_31,0.54720974
139,1kmN3033E5032_32,0.4785057
140,1kmN3033E5032_33,0.54720974
141,1kmN3033E5032_34,0.49257305
142,1kmN3033E5032_41,0.4785057
143,1kmN3033E5032_42,0.6092034
144,1kmN3033E5032_43,0.38824233
145,1kmN3033E5032_44,0.54720974
148,1kmN3033E5033_31,0.49257305
149,1kmN3033E5033_32,0.54720974
150,1kmN3033E5033_33,0.38824233
151,1kmN3033E5033_34,0.4785057
153,1kmN3033E5033_42,0.29346198
154,1kmN3033E5033_43,0.29346198
155,1kmN3033E5033_44,0.29346198
156,1kmN3033E5034_11,0.45302233
157,1kmN3033E5034_12,0.29346198
158,1kmN3033E5034_13,0.29346198
159,1kmN3033E5034_14,0.29346198
160,1kmN3033E5034_21,0.29346198
161,1kmN3033E5034_23,0.29346198
162,1kmN3033E5034_24,0.29346198
164,1kmN3033E5035_12,0.29346198
165,1kmN3033E5035_13,0.29346198
167,1kmN3033E5035_31,0.29346198
168,1kmN3033E5035_34,0.29346198
170,1kmN3033E5035_42,0.29346198
171,1kmN3033E5035_43,0.29346198
172,1kmN3033E5035_44,0.29346198
174,1kmN3033E5036_42,0.29346198
175,1kmN3033E5036_43,0.29346198
196,1kmN3034E5022_13,0.29346198
199,1kmN3034E5022_24,0.29346198
201,1kmN3034E5022_32,0.29346198
203,1kmN3034E5022_34,0.29346198
210,1kmN3034E5023_13,0.29346198
213,1kmN3034E5023_24,0.29346198
214,1kmN3034E5023_31,0.30752933
215,1kmN3034E5023_34,0.29346198
221,1kmN3034E5024_12,0.29346198
222,1kmN3034E5024_13,0.29346198
224,1kmN3034E5024_21,0.29346198
237,1kmN3034E5025_22,0.29346198
238,1kmN3034E5025_23,0.29346198
239,1kmN3034E5025_24,0.29346198
240,1kmN3034E5025_31,0.36216596
241,1kmN3034E5025_32,0.30752933
242,1kmN3034E5025_33,0.47568065
243,1kmN3034E5025_34,0.36216596
248,1kmN3034E5026_11,0.29346198
249,1kmN3034E5026_12,0.29346198
251,1kmN3034E5026_14,0.29346198
254,1kmN3034E5026_23,0.29346198
257,1kmN3034E5026_32,0.29346198
258,1kmN3034E5026_33,0.30752933
279,1kmN3034E5027_44,0.29346198
285,1kmN3034E5028_22,0.5331424
292,1kmN3034E5028_41,1.1676273
296,1kmN3034E5029_11,0.29346198
297,1kmN3034E5029_12,0.54720974
298,1kmN3034E5029_13,0.4785057
299,1kmN3034E5029_14,0.47568065
300,1kmN3034E5029_21,0.4785057
301,1kmN3034E5029_22,0.9489943
302,1kmN3034E5029_23,0.6170048
303,1kmN3034E5029_24,0.47568065
304,1kmN3034E5029_31,0.6170048
305,1kmN3034E5029_32,1.0586662
306,1kmN3034E5029_33,0.6801328
307,1kmN3034E5029_34,0.29346198
308,1kmN3034E5029_41,0.9205973
309,1kmN3034E5029_42,0.4785057
310,1kmN3034E5029_43,0.29346198
311,1kmN3034E5029_44,0.29346198
312,1kmN3034E5030_11,0.29346198
313,1kmN3034E5030_12,0.29346198
314,1kmN3034E5030_13,0.47568065
315,1kmN3034E5030_14,0.38824233
316,1kmN3034E5030_21,0.46715912
317,1kmN3034E5030_22,0.3741055
318,1kmN3034E5030_23,0.29346198
319,1kmN3034E5030_24,0.38824233
320,1kmN3034E5030_31,0.29346198
321,1kmN3034E5030_32,0.29346198
322,1kmN3034E5030_33,0.29346198
323,1kmN3034E5030_34,0.29346198
325,1kmN3034E5030_42,0.29346198
326,1kmN3034E5030_43,0.29346198
327,1kmN3034E5030_44,0.29346198
328,1kmN3034E5031_11,1.205394
329,1kmN3034E5031_12,0.38824233
330,1kmN3034E5031_13,0.6170048
331,1kmN3034E5031_14,1.4369872
332,1kmN3034E5031_21,0.29346198
333,1kmN3034E5031_22,0.47568065
334,1kmN3034E5031_23,0.38824233
335,1kmN3034E5031_24,0.46715912
336,1kmN3034E5031_31,0.29346198
337,1kmN3034E5031_32,0.47568065
338,1kmN3034E5031_33,0.46477702
339,1kmN3034E5031_34,0.29346198
340,1kmN3034E5031_41,0.46477702
341,1kmN3034E5031_42,0.6170048
342,1kmN3034E5031_43,0.4785057
343,1kmN3034E5031_44,0.4785057
344,1kmN3034E5032_11,0.30752933
345,1kmN3034E5032_12,0.38824233
346,1kmN3034E5032_13,0.29346198
348,1kmN3034E5032_21,0.29346198
349,1kmN3034E5032_22,0.38824233
350,1kmN3034E5032_23,0.29346198
351,1kmN3034E5032_24,0.29346198
352,1kmN3034E5032_31,0.29346198
353,1kmN3034E5032_32,0.36216596
354,1kmN3034E5032_33,0.30752933
355,1kmN3034E5032_34,0.29346198
356,1kmN3034E5032_41,0.29346198
357,1kmN3034E5032_42,0.38824233
358,1kmN3034E5032_43,0.30752933
359,1kmN3034E5032_44,1.2010357
360,1kmN3034E5033_11,0.4785057
361,1kmN3034E5033_12,0.49257305
362,1kmN3034E5033_13,0.38824233
363,1kmN3034E5033_14,0.4785057
364,1kmN3034E5033_21,0.4785057
366,1kmN3034E5033_23,0.29346198
367,1kmN3034E5033_24,0.4785057
368,1kmN3034E5033_31,0.4785057
369,1kmN3034E5033_32,0.29346198
370,1kmN3034E5033_33,0.30752933
371,1kmN3034E5033_34,0.29346198
372,1kmN3034E5033_41,0.4785057
373,1kmN3034E5033_42,0.4785057
374,1kmN3034E5033_43,0.38824233
375,1kmN3034E5033_44,0.29346198
376,1kmN3034E5034_11,0.29346198
377,1kmN3034E5034_12,0.29346198
378,1kmN3034E5034_13,0.29346198
379,1kmN3034E5034_14,0.29346198
380,1kmN3034E5034_21,0.30752933
381,1kmN3034E5034_22,0.29346198
382,1kmN3034E5034_23,0.29346198
383,1kmN3034E5034_24,0.30752933
384,1kmN3034E5034_31,0.29346198
385,1kmN3034E5034_32,0.29346198
386,1kmN3034E5034_33,0.29346198
387,1kmN3034E5034_34,0.29346198
389,1kmN3034E5034_42,0.29346198
390,1kmN3034E5034_43,0.29346198
391,1kmN3034E5034_44,0.29346198
392,1kmN3034E5035_11,0.29346198
393,1kmN3034E5035_12,0.29346198
395,1kmN3034E5035_14,0.29346198
400,1kmN3034E5035_31,0.29346198
402,1kmN3034E5035_33,0.46477702
403,1kmN3034E5035_34,0.29346198
406,1kmN3034E5035_43,0.29346198
421,1kmN3035E5020_12,0.29346198
425,1kmN3035E5021_11,0.54720974
426,1kmN3035E5021_12,0.30752933
427,1kmN3035E5021_13,0.30752933
428,1kmN3035E5021_14,0.54720974
429,1kmN3035E5021_21,0.36216596
432,1kmN3035E5021_24,0.29346198
437,1kmN3035E5021_41,0.4785057
438,1kmN3035E5021_42,0.29346198
439,1kmN3035E5021_43,0.29346198
440,1kmN3035E5021_44,0.29346198
441,1kmN3035E5022_11,0.29346198
442,1kmN3035E5022_12,0.29346198
443,1kmN3035E5022_13,0.30752933
444,1kmN3035E5022_14,0.38824233
447,1kmN3035E5022_23,0.29346198
448,1kmN3035E5022_24,0.29346198
449,1kmN3035E5022_31,0.29346198
450,1kmN3035E5022_32,0.29346198
451,1kmN3035E5022_33,0.29346198
452,1kmN3035E5022_34,0.38824233
453,1kmN3035E5022_41,0.29346198
454,1kmN3035E5022_42,0.29346198
455,1kmN3035E5022_43,0.47568065
457,1kmN3035E5023_11,0.29346198
458,1kmN3035E5023_12,0.29346198
465,1kmN3035E5023_31,0.29346198
470,1kmN3035E5023_42,0.29346198
472,1kmN3035E5023_44,0.29346198
480,1kmN3035E5024_24,0.29346198
481,1kmN3035E5024_31,0.29346198
482,1kmN3035E5024_32,0.29346198
484,1kmN3035E5024_34,0.29346198
485,1kmN3035E5024_41,0.29346198
486,1kmN3035E5024_42,0.29346198
487,1kmN3035E5024_43,0.30752933
488,1kmN3035E5024_44,0.3336057
489,1kmN3035E5025_11,0.30752933
490,1kmN3035E5025_12,0.30752933
491,1kmN3035E5025_13,0.9205973
492,1kmN3035E5025_14,0.29346198
496,1kmN3035E5025_24,0.29346198
497,1kmN3035E5025_31,0.29346198
501,1kmN3035E5025_41,0.29346198
502,1kmN3035E5025_42,0.47568065
503,1kmN3035E5025_43,0.29346198
505,1kmN3035E5026_11,0.29346198
507,1kmN3035E5026_13,0.29346198
508,1kmN3035E5026_14,0.46715912
513,1kmN3035E5026_31,0.29346198
516,1kmN3035E5026_34,0.29346198
517,1kmN3035E5026_41,0.9272865
518,1kmN3035E5026_42,0.9205973
519,1kmN3035E5026_43,0.30752933
520,1kmN3035E5026_44,0.38824233
521,1kmN3035E5027_11,0.9738651
522,1kmN3035E5027_12,0.6801328
523,1kmN3035E5027_13,0.29346198
524,1kmN3035E5027_14,0.9738651
525,1kmN3035E5027_21,1.2883278
528,1kmN3035E5027_24,0.29346198
529,1kmN3035E5027_31,0.29346198
533,1kmN3035E5027_41,0.96407676
535,1kmN3035E5027_43,0.29346198
536,1kmN3035E5027_44,0.3336057
537,1kmN3035E5028_11,1.4997764
538,1kmN3035E5028_12,1.2634571
539,1kmN3035E5028_13,1.8953582
540,1kmN3035E5028_14,1.8953582
541,1kmN3035E5028_21,0.96407676
542,1kmN3035E5028_22,0.46477702
543,1kmN3035E5028_23,1.1219819
544,1kmN3035E5028_24,0.9205973
545,1kmN3035E5028_31,1.6554569
546,1kmN3035E5028_32,1.8525363
547,1kmN3035E5028_33,1.1219819
548,1kmN3035E5028_34,1.7623037
550,1kmN3035E5028_42,1.1676273
551,1kmN3035E5028_43,0.9272865
552,1kmN3035E5028_44,0.9489943
553,1kmN3035E5029_11,0.47568065
554,1kmN3035E5029_12,0.9489943
555,1kmN3035E5029_13,1.205394
556,1kmN3035E5029_14,0.54720974
557,1kmN3035E5029_21,0.9205973
558,1kmN3035E5029_22,0.43870062
559,1kmN3035E5029_23,0.4785057
560,1kmN3035E5029_24,0.4785057
561,1kmN3035E5029_31,0.9272865
562,1kmN3035E5029_32,0.9489943
563,1kmN3035E5029_33,0.7871505
564,1kmN3035E5029_34,0.9738651
565,1kmN3035E5029_41,0.46477702
566,1kmN3035E5029_42,0.9489943
567,1kmN3035E5029_43,0.9489943
568,1kmN3035E5029_44,0.9272865
570,1kmN3035E5030_12,0.29346198
572,1kmN3035E5030_14,0.29346198
573,1kmN3035E5030_21,0.38824233
574,1kmN3035E5030_22,0.30752933
575,1kmN3035E5030_23,0.29346198
576,1kmN3035E5030_24,0.29346198
579,1kmN3035E5030_33,0.29346198
580,1kmN3035E5030_34,0.29346198
581,1kmN3035E5030_41,0.9272865
582,1kmN3035E5030_42,0.29346198
583,1kmN3035E5030_43,1.0106554
584,1kmN3035E5030_44,0.9738651
587,1kmN3035E5031_13,0.30752933
588,1kmN3035E5031_14,0.29346198
589,1kmN3035E5031_21,1.205394
590,1kmN3035E5031_22,0.38824233
591,1kmN3035E5031_23,1.4049436
592,1kmN3035E5031_24,1.205394
593,1kmN3035E5031_31,0.47568065
594,1kmN3035E5031_32,0.6092034
595,1kmN3035E5031_33,0.6170048
596,1kmN3035E5031_34,0.36216596
597,1kmN3035E5031_41,0.29346198
598,1kmN3035E5031_42,0.29346198
599,1kmN3035E5031_43,1.0280812
600,1kmN3035E5031_44,0.29346198
601,1kmN3035E5032_11,0.30752933
602,1kmN3035E5032_12,0.30752933
603,1kmN3035E5032_13,0.30752933
604,1kmN3035E5032_14,0.29346198
605,1kmN3035E5032_21,0.29346198
606,1kmN3035E5032_22,0.29346198
607,1kmN3035E5032_23,0.30752933
608,1kmN3035E5032_24,0.38824233
609,1kmN3035E5032_31,0.36216596
610,1kmN3035E5032_32,0.29346198
611,1kmN3035E5032_33,1.2010357
613,1kmN3035E5032_41,0.29346198
614,1kmN3035E5032_42,0.30752933
615,1kmN3035E5032_43,0.29346198
616,1kmN3035E5032_44,0.29346198
618,1kmN3035E5033_12,0.29346198
621,1kmN3035E5033_21,0.29346198
622,1kmN3035E5033_22,0.29346198
623,1kmN3035E5033_23,0.29346198
624,1kmN3035E5033_24,0.29346198
625,1kmN3035E5033_31,0.29346198
626,1kmN3035E5033_32,0.29346198
627,1kmN3035E5033_33,0.29346198
628,1kmN3035E5033_34,0.29346198
631,1kmN3035E5033_43,0.30752933
632,1kmN3035E5033_44,0.30752933
633,1kmN3035E5034_11,0.54720974
634,1kmN3035E5034_12,0.36216596
635,1kmN3035E5034_13,0.49257305
636,1kmN3035E5034_14,0.4785057
637,1kmN3035E5034_21,0.4785057
638,1kmN3035E5034_22,0.29346198
640,1kmN3035E5034_24,0.4785057
641,1kmN3035E5034_31,0.30752933
642,1kmN3035E5034_32,0.29346198
643,1kmN3035E5034_33,0.29346198
644,1kmN3035E5034_34,0.29346198
645,1kmN3035E5034_41,0.29346198
646,1kmN3035E5034_42,0.29346198
647,1kmN3035E5034_43,0.29346198
648,1kmN3035E5034_44,0.29346198
650,1kmN3035E5035_12,0.29346198
651,1kmN3035E5035_13,0.29346198
652,1kmN3035E5035_14,0.29346198
653,1kmN3035E5035_21,0.29346198
654,1kmN3035E5035_22,0.29346198
655,1kmN3035E5035_23,0.29346198
656,1kmN3035E5035_24,0.29346198
657,1kmN3035E5035_31,0.30752933
660,1kmN3035E5035_34,0.4785057
662,1kmN3035E5035_42,0.47568065
663,1kmN3035E5035_43,0.54720974
670,1kmN3035E5036_34,0.29346198
671,1kmN3035E5036_41,0.9205973
673,1kmN3035E5036_43,0.29346198
674,1kmN3035E5036_44,0.29346198
676,1kmN3036E5021_12,0.29346198
677,1kmN3036E5021_13,0.29346198
679,1kmN3036E5021_21,0.6170048
680,1kmN3036E5021_22,0.6170048
681,1kmN3036E5021_23,0.47568065
682,1kmN3036E5021_24,0.6135617
683,1kmN3036E5021_31,0.6092034
684,1kmN3036E5021_32,0.49257305
685,1kmN3036E5021_33,0.29346198
688,1kmN3036E5021_42,0.29346198
689,1kmN3036E5021_43,0.29346198
693,1kmN3036E5022_13,0.30752933
694,1kmN3036E5022_14,0.29346198
697,1kmN3036E5022_23,0.29346198
698,1kmN3036E5022_24,0.29346198
699,1kmN3036E5022_31,0.29346198
700,1kmN3036E5022_32,0.38824233
701,1kmN3036E5022_33,0.36216596
702,1kmN3036E5022_34,0.29346198
703,1kmN3036E5022_42,0.30752933
704,1kmN3036E5022_43,0.29346198
705,1kmN3036E5023_11,0.34809864
706,1kmN3036E5023_12,0.29346198
708,1kmN3036E5023_14,0.29346198
710,1kmN3036E5023_22,0.30752933
731,1kmN3036E5024_33,0.29346198
735,1kmN3036E5024_43,0.29346198
736,1kmN3036E5024_44,0.29346198
737,1kmN3036E5025_11,0.30752933
738,1kmN3036E5025_12,0.30752933
739,1kmN3036E5025_13,0.30752933
740,1kmN3036E5025_14,0.29346198
742,1kmN3036E5025_22,0.29346198
743,1kmN3036E5025_23,0.29346198
753,1kmN3036E5026_11,0.29346198
754,1kmN3036E5026_12,0.29346198
755,1kmN3036E5026_13,0.47568065
756,1kmN3036E5026_14,0.36216596
758,1kmN3036E5026_22,0.29346198
759,1kmN3036E5026_23,0.46715912
760,1kmN3036E5026_24,0.38824233
761,1kmN3036E5026_31,0.38824233
762,1kmN3036E5026_32,0.47568065
763,1kmN3036E5026_33,0.29346198
764,1kmN3036E5026_34,0.29346198
765,1kmN3036E5026_41,0.47568065
766,1kmN3036E5026_42,0.9205973
767,1kmN3036E5026_43,0.38824233
768,1kmN3036E5026_44,0.38824233
769,1kmN3036E5027_11,0.9738651
770,1kmN3036E5027_12,0.9738651
771,1kmN3036E5027_13,1.2883278
772,1kmN3036E5027_14,1.9741125
773,1kmN3036E5027_21,1.2883278
774,1kmN3036E5027_22,0.9738651
775,1kmN3036E5027_23,1.2010357
776,1kmN3036E5027_24,0.9489943
778,1kmN3036E5027_32,0.4785057
779,1kmN3036E5027_33,0.29346198
780,1kmN3036E5027_34,0.29346198
781,1kmN3036E5027_41,1.8953582
784,1kmN3036E5027_44,1.2883278
785,1kmN3036E5028_11,1.8525363
786,1kmN3036E5028_12,1.0106554
787,1kmN3036E5028_13,1.0106554
788,1kmN3036E5028_14,1.8412826
789,1kmN3036E5028_21,1.1816947
790,1kmN3036E5028_22,1.5238212
791,1kmN3036E5028_23,1.1676273
792,1kmN3036E5028_24,1.1676273
793,1kmN3036E5028_31,1.1676273
795,1kmN3036E5028_33,0.4785057
796,1kmN3036E5028_34,0.49257305
797,1kmN3036E5028_41,1.205394
798,1kmN3036E5028_42,0.6801328
799,1kmN3036E5028_43,0.36216596
800,1kmN3036E5028_44,1.0106554
801,1kmN3036E5029_11,1.4049436
802,1kmN3036E5029_12,1.205394
804,1kmN3036E5029_14,0.96407676
805,1kmN3036E5029_21,0.36216596
806,1kmN3036E5029_22,0.49257305
807,1kmN3036E5029_23,0.6170048
808,1kmN3036E5029_24,0.9205973
809,1kmN3036E5029_31,0.30752933
810,1kmN3036E5029_32,0.46715912
811,1kmN3036E5029_33,0.9205973
812,1kmN3036E5029_34,0.29346198
813,1kmN3036E5029_41,1.0059898
816,1kmN3036E5029_44,1.2634571
817,1kmN3036E5030_11,0.29346198
818,1kmN3036E5030_12,0.29346198
819,1kmN3036E5030_13,0.29346198
820,1kmN3036E5030_14,0.29346198
821,1kmN3036E5030_21,0.29346198
823,1kmN3036E5030_23,0.9205973
824,1kmN3036E5030_24,0.9272865
825,1kmN3036E5030_31,0.9272865
826,1kmN3036E5030_32,0.9205973
827,1kmN3036E5030_33,0.6135617
828,1kmN3036E5030_34,0.46715912
830,1kmN3036E5030_42,1.1676273
831,1kmN3036E5030_43,1.2634571
832,1kmN3036E5030_44,0.54720974
833,1kmN3036E5031_11,2.1019716
834,1kmN3036E5031_12,1.6842908
835,1kmN3036E5031_13,1.8953582
836,1kmN3036E5031_14,1.8953582
837,1kmN3036E5031_21,0.9738651
838,1kmN3036E5031_22,0.47568065
839,1kmN3036E5031_23,0.36216596
840,1kmN3036E5031_24,0.9489943
841,1kmN3036E5031_31,0.29346198
842,1kmN3036E5031_32,0.29346198
845,1kmN3036E5031_41,1.6269361
849,1kmN3036E5032_11,1.9857653
850,1kmN3036E5032_12,2.1019716
851,1kmN3036E5032_13,2.1019716
852,1kmN3036E5032_14,1.6842908
853,1kmN3036E5032_21,0.3336057
854,1kmN3036E5032_22,0.29346198
855,1kmN3036E5032_23,0.6170048
856,1kmN3036E5032_24,1.0106554
857,1kmN3036E5032_31,0.30752933
858,1kmN3036E5032_32,0.4785057
859,1kmN3036E5032_33,0.54720974
860,1kmN3036E5032_34,1.1676273
861,1kmN3036E5032_41,2.1019716
862,1kmN3036E5032_42,2.1019716
863,1kmN3036E5032_43,2.075202
864,1kmN3036E5032_44,1.8789188
865,1kmN3036E5033_11,0.46715912
866,1kmN3036E5033_12,0.29346198
867,1kmN3036E5033_13,0.29346198
868,1kmN3036E5033_14,0.6801328
876,1kmN3036E5033_34,0.29346198
877,1kmN3036E5033_41,0.9205973
878,1kmN3036E5033_42,0.36216596
879,1kmN3036E5033_43,0.36216596
880,1kmN3036E5033_44,0.9205973
881,1kmN3036E5034_11,0.29346198
882,1kmN3036E5034_12,0.30752933
883,1kmN3036E5034_13,0.47568065
884,1kmN3036E5034_14,0.38824233
885,1kmN3036E5034_21,0.29346198
886,1kmN3036E5034_22,0.30752933
887,1kmN3036E5034_23,0.29346198
888,1kmN3036E5034_24,0.29346198
893,1kmN3036E5034_41,0.9205973
894,1kmN3036E5034_42,0.30752933
896,1kmN3036E5034_44,0.30752933
897,1kmN3036E5035_11,1.657521
898,1kmN3036E5035_12,0.29346198
899,1kmN3036E5035_13,0.38824233
900,1kmN3036E5035_14,0.49257305
901,1kmN3036E5035_23,0.29346198
903,1kmN3036E5035_31,0.29346198
904,1kmN3036E5035_32,0.29346198
905,1kmN3036E5035_33,0.30752933
906,1kmN3036E5035_34,0.29346198
908,1kmN3036E5035_42,0.46477702
909,1kmN3036E5035_43,0.47568065
911,1kmN3036E5036_11,0.4785057
912,1kmN3036E5036_41,0.29346198
913,1kmN3036E5036_44,0.9738651
916,1kmN3036E5037_41,0.29346198
917,1kmN3036E5037_44,0.49257305
918,1kmN3036E5038_14,0.29346198
919,1kmN3036E5038_41,0.36216596
920,1kmN3036E5038_44,0.29346198
925,1kmN3037E5022_11,0.29346198
927,1kmN3037E5023_11,0.29346198
928,1kmN3037E5023_12,0.29346198
932,1kmN3037E5023_22,0.29346198
939,1kmN3037E5023_41,0.29346198
943,1kmN3037E5024_11,0.54720974
944,1kmN3037E5024_12,0.29346198
